ID,Item title,Final URL,Image URL,Price,Sale price
CP010_CNF,Crep protect laces white round,http://ballzy.eu/lv/product/crep-protect-laces-white-round-cp010-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP010_CNF_b2772e40_sq.jpg,7€,
CP014_CNF,Crep protect eraser - suede  &amp; nubuck,http://ballzy.eu/lv/product/crep-protect-eraser-suede-nubuck-cp014-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP014_CNF_25cc0a78_sq.jpg,10€,
CP019_CNF,Crep protect mark-on black midsole custom pen,http://ballzy.eu/lv/product/crep-protect-mark-on-black-midsole-custom-pen-cp019-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP019_CNF_4faf9ba3_sq.jpg,15€,
SX7840_010_S_CNF,U nk evry plus cush ns foot 3p,http://ballzy.eu/lv/product/u-nk-evry-plus-cush-ns-foot-3p-sx7840-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7840_010_S_CNF_d93c3a2a_sq.jpg,12€,12€
SX7589_010_M_CNF,U jordan crew - nba,http://ballzy.eu/lv/product/u-jordan-crew-nba-sx7589-010-m-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7589_010_M_CNF_10887174_sq.jpg,24€,
CI0919_100_6_CNF,W af1 shadow,http://ballzy.eu/lv/product/w-af1-shadow-ci0919-100-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CI0919_100_6_CNF_7de6e363_sq.jpg,119€,119€
8235SCN_CNF,Net heavy duty,http://ballzy.eu/lv/product/net-heavy-duty-8235scn-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_8235SCN_CNF_4db89dae_sq.jpg,11€,
BD7632_7.5_CNF,Handball spezial,http://ballzy.eu/lv/product/handball-spezial-bd7632-7-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_BD7632_7.5_CNF_94264f25_sq.jpg,99€,99€
SK0109_010_S_CNF,U nk nsw evry essential crew,http://ballzy.eu/lv/product/u-nk-nsw-evry-essential-crew-sk0109-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SK0109_010_S_CNF_1f6e0739_sq.jpg,13€,13€
20955HN_99_XS_CNF,Hnmky bomber jacket black,http://ballzy.eu/lv/product/hnmky-bomber-jacket-black-20955hn-99-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_20955HN_99_XS_CNF_5f81c47a_sq.jpg,100€,
CK2663_010_MISC_CNF,Nk utility power bkpk,http://ballzy.eu/lv/product/nk-utility-power-bkpk-ck2663-010-misc-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CK2663_010_MISC_CNF_d3bdcbc1_sq.jpg,74€,
CW2288_111_8.5_CNF,Air force 1 ´07,http://ballzy.eu/lv/product/air-force-1-07-cw2288-111-8-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CW2288_111_8.5_CNF_6702b346_sq.jpg,119€,119€
VN000EYEW001_090_CNF,Ua classic slip-on,http://ballzy.eu/lv/product/ua-classic-slip-on-vn000eyew001-090-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000EYEW001_090_CNF_8ef14ec4_sq.jpg,49€,49€
60113286_OSFM_CNF,Face mask new york yankees,http://ballzy.eu/lv/product/face-mask-new-york-yankees-60113286-osfm-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_60113286_OSFM_CNF_23d0ae7d_sq.jpg,5€,5€
CN1719_065_S_CNF,Chi m nk swgmn jsy ce 20,http://ballzy.eu/lv/product/chi-m-nk-swgmn-jsy-ce-20-cn1719-065-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CN1719_065_S_CNF_df8c9dd2_sq.jpg,54€,54€
DA2123_010_S_CNF,U nk crew everyday bball 3pr,http://ballzy.eu/lv/product/u-nk-ed-crew-bball-3pr-144-da2123-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DA2123_010_S_CNF_a8ff33e0_sq.jpg,19€,
DA2123_100_S_CNF,U nk crew everyday bball 3pr,http://ballzy.eu/lv/product/u-nk-ed-crew-bball-3pr-144-da2123-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DA2123_100_S_CNF_a0391d64_sq.jpg,19€,
DH2920_111_4Y_CNF,Air force 1 le gs,http://ballzy.eu/lv/product/air-force-1-le-gs-dh2920-111-4y-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH2920_111_4Y_CNF_38482c21_sq.jpg,94€,94€
